,accuracy,precision,recall
1331312,0.8575,0.4444444444444444,0.017621145
3313312,0.859375,0.6666666666666666,0.017621145
1132212,0.853125,0.5714285714285714,0.016949153
1313311,0.850625,0.36363636363636365,0.016949153
1123212,0.846875,0.4,0.016460905
2112222,0.846875,0.4444444444444444,0.016393443
1322221,0.854375,0.075,0.015075377
3331211,0.83375,0.5714285714285714,0.014981273
1123311,0.864375,0.75,0.01369863
1322111,0.85125,0.12,0.01369863
1212312,0.858125,0.42857142857142855,0.013274336
2111322,0.859375,0.6,0.013274336
2121322,0.8575,0.375,0.013274336
3222312,0.860625,1,0.013274336
2111112,0.854375,0.42857142857142855,0.012931034
1122322,0.84625,0.16666666666666666,0.012820513
1321112,0.85,0.25,0.012820513
2323121,0.846875,0.17647058823529413,0.012820513
1331211,0.85,0.2727272727272727,0.012765957
3131222,0.854375,0.75,0.012765957
1231212,0.848125,0.3333333333333333,0.0125
1323112,0.84375,0.6,0.011952191
3132211,0.866875,0.25,0.009569378
1313312,0.866875,0.5,0.009389671
2113312,0.86625,0.4,0.009389671
2122111,0.866875,0.5,0.009389671
1332311,0.86375,0.25,0.009345794
2133111,0.865,0.3333333333333333,0.009345794
1113221,0.8625,0.2222222222222222,0.009302326
1131121,0.865625,0.5,0.009302326
2113222,0.86625,0.6666666666666666,0.009302326
1111321,0.86375,0.3333333333333333,0.009259259
2222222,0.858125,0.14285714285714285,0.00921659
2223122,0.865,0.6666666666666666,0.00921659
2223322,0.864375,0.5,0.00921659
2231212,0.865625,1,0.00921659
2323222,0.865625,1,0.00921659
1222112,0.864375,0.6666666666666666,0.009174312
2113111,0.86375,0.5,0.009174312
2333121,0.865,1,0.009174312
1323211,0.858125,0.16666666666666666,0.00913242
2123112,0.860625,0.25,0.00913242
3311211,0.86125,0.2857142857142857,0.00913242
1312322,0.86375,1,0.009090909
2213211,0.861875,0.4,0.009090909
2322212,0.85875,0.2,0.009090909
2123122,0.85125,0.095238095,0.009049774
2223111,0.8625,0.6666666666666666,0.009049774
3121312,0.86,0.2857142857142857,0.009049774
3131112,0.861875,0.5,0.009049774
1213122,0.860625,0.4,0.009009009
1321311,0.855,0.14285714285714285,0.009009009
3332311,0.8625,1,0.009009009
1132121,0.85625,0.18181818181818182,0.00896861
1313121,0.8575,0.2222222222222222,0.00896861
2112122,0.859375,0.3333333333333333,0.00896861
1321312,0.8575,0.25,0.008928571
2131222,0.86,0.5,0.008928571
2311312,0.86,0.5,0.008928571
1111311,0.859375,0.5,0.008888889
3121122,0.848125,0.090909091,0.008888889
3212322,0.86,0.6666666666666666,0.008888889
3222112,0.86,0.6666666666666666,0.008888889
3322311,0.860625,1,0.008888889
1211222,0.85625,0.25,0.008849558
1212112,0.856875,0.2857142857142857,0.008849558
1323312,0.853125,0.15384615384615385,0.008849558
2211121,0.859375,0.6666666666666666,0.008849558
3231111,0.859375,0.6666666666666666,0.008849558
1111322,0.85625,0.2857142857142857,0.008810573
1323111,0.8525,0.15384615384615385,0.008810573
1331121,0.85875,0.6666666666666666,0.008810573
1133311,0.858125,0.6666666666666666,0.00877193
1223321,0.856875,0.4,0.00877193
1313111,0.856875,0.4,0.00877193
2131312,0.855,0.25,0.00877193
2312312,0.858125,0.6666666666666666,0.00877193
3123212,0.828125,0.039215686,0.00877193
1212111,0.856875,0.5,0.008733624
2212311,0.8575,0.6666666666666666,0.008733624
3322312,0.856875,0.5,0.008733624
3331212,0.8575,0.6666666666666666,0.008733624
2133211,0.855625,0.4,0.008695652
1321222,0.85,0.15384615384615385,0.008658009
2132112,0.85375,0.2857142857142857,0.008658009
3312212,0.853125,0.25,0.008658009
2313111,0.855,0.5,0.00862069
3132221,0.848125,0.13333333333333333,0.00862069
3211221,0.85375,0.3333333333333333,0.00862069
1233111,0.85375,0.4,0.008583691
1311311,0.853125,0.3333333333333333,0.008583691
3121222,0.85125,0.2222222222222222,0.008583691
3131211,0.849375,0.16666666666666666,0.008583691
1212221,0.84875,0.16666666666666666,0.008547009
2131311,0.841875,0.086956522,0.008547009
3123111,0.854375,0.6666666666666666,0.008547009
3332322,0.854375,0.6666666666666666,0.008547009
3222211,0.849375,0.2,0.008510638
3312322,0.854375,1,0.008510638
1123221,0.848125,0.18181818181818182,0.008474576
1213222,0.85375,1,0.008474576
1221321,0.853125,0.6666666666666666,0.008474576
1311222,0.8525,0.5,0.008474576
2111321,0.85,0.25,0.008474576
2322121,0.849375,0.2222222222222222,0.008474576
2331221,0.85375,1,0.008474576
2332222,0.8525,0.5,0.008474576
3232311,0.85375,1,0.008474576
1113112,0.8525,0.6666666666666666,0.008438819
1231121,0.848125,0.2222222222222222,0.008403361
2133221,0.850625,0.4,0.008403361
2221112,0.85,0.3333333333333333,0.008403361
3212122,0.8475,0.2,0.008403361
2111222,0.85125,0.6666666666666666,0.008368201
2121221,0.844375,0.14285714285714285,0.008368201
3133321,0.850625,0.5,0.008368201
1112311,0.84875,0.3333333333333333,0.008333333
1122122,0.840625,0.10526315789473684,0.008333333
2231221,0.849375,0.4,0.008333333
2311122,0.85125,1,0.008333333
2321221,0.849375,0.5,0.008298755
2132122,0.848125,0.4,0.008264463
2223212,0.849375,0.6666666666666666,0.008264463
1223111,0.845,0.2222222222222222,0.008230453
1312321,0.845625,0.2857142857142857,0.008196721
1323212,0.846875,0.4,0.008196721
3112121,0.848125,0.6666666666666666,0.008196721
2321121,0.84625,0.4,0.008163265
3322121,0.84375,0.2222222222222222,0.008163265
1313112,0.84625,0.5,0.008130081
2222211,0.8425,0.2,0.008130081
3121212,0.84625,0.6666666666666666,0.008097166
2232211,0.84625,1,0.008064516
2311212,0.845625,0.6666666666666666,0.008064516
2222111,0.843125,0.3333333333333333,0.008032129
3232322,0.845,0.6666666666666666,0.008032129
2121311,0.84,0.2222222222222222,0.007968127
2121321,0.841875,0.6666666666666666,0.007874016
1212322,0.8775,0.3333333333333333,0.005128205
1323322,0.8775,0.3333333333333333,0.005128205
3132311,0.874375,0.16666666666666666,0.005076142
2122322,0.874375,0.25,0.005025126
3333211,0.875,0.5,0.005
2212112,0.873125,1,0.004901961
3231221,0.873125,1,0.004901961
3333122,0.87,0.25,0.004854369
3322322,0.869375,0.25,0.004830918
1233222,0.87,0.5,0.004807692
3132112,0.868125,0.2,0.004807692
3113311,0.869375,0.5,0.004784689
3222121,0.86875,0.3333333333333333,0.004784689
3232211,0.86875,0.3333333333333333,0.004784689
1322321,0.863125,0.090909091,0.004761905
2121121,0.86875,0.5,0.004761905
2321312,0.86875,0.5,0.004761905
2333312,0.86875,1,0.004739336
3111321,0.8625,0.090909091,0.004739336
3321112,0.868125,0.5,0.004739336
1231111,0.86625,0.25,0.004716981
2133321,0.866875,0.3333333333333333,0.004716981
2221111,0.863125,0.1111111111111111,0.004716981
2323112,0.865625,0.2,0.004716981
3123121,0.868125,1,0.004716981
2113311,0.866875,0.5,0.004694836
3133211,0.8675,1,0.004694836
1232121,0.864375,0.2,0.004672897
2133112,0.86625,0.5,0.004672897
2231211,0.865,0.25,0.004672897
2231321,0.866875,1,0.004672897
1122111,0.860625,0.1,0.004651163
1331222,0.864375,0.25,0.004651163
2213112,0.86625,1,0.004651163
2333212,0.865625,0.5,0.004651163
3323212,0.86625,1,0.004651163
2123222,0.865625,1,0.00462963
3122322,0.865,0.5,0.00462963
3313321,0.865625,1,0.00462963
1223312,0.861875,0.16666666666666666,0.004608295
1233322,0.864375,0.5,0.004608295
2131321,0.865,1,0.004608295
2223321,0.864375,0.5,0.004608295
2232212,0.86375,0.3333333333333333,0.004608295
2312111,0.863125,0.25,0.004608295
2322211,0.861875,0.16666666666666666,0.004608295
3111121,0.86375,0.3333333333333333,0.004608295
3121311,0.86125,0.14285714285714285,0.004608295
3122121,0.8625,0.2,0.004608295
3312121,0.8625,0.2,0.004608295
1123322,0.86,0.125,0.004587156
1132322,0.864375,1,0.004587156
1232111,0.864375,1,0.004587156
3132222,0.860625,0.14285714285714285,0.004587156
3322122,0.861875,0.2,0.004587156
1121122,0.8575,0.090909091,0.00456621
2211111,0.863125,0.5,0.00456621
3231321,0.863125,0.5,0.00456621
3332111,0.861875,0.25,0.00456621
1312112,0.86125,0.25,0.004545455
1332312,0.861875,0.3333333333333333,0.004545455
2223312,0.863125,1,0.004545455
1131112,0.8625,1,0.004524887
2133322,0.8625,1,0.004524887
3221321,0.860625,0.25,0.004524887
1132122,0.86,0.25,0.004504505
1223311,0.861875,1,0.004504505
1331322,0.86125,0.5,0.004504505
2123312,0.86125,0.5,0.004504505
2212221,0.86,0.25,0.004504505
2213222,0.861875,1,0.004504505
2232322,0.86125,0.5,0.004504505
3132321,0.86125,0.5,0.004504505
3231122,0.86,0.25,0.004504505
1232222,0.85875,0.2,0.004484305
2123221,0.855,0.090909091,0.004484305
3132121,0.86,0.3333333333333333,0.004484305
1312311,0.860625,1,0.004464286
2322112,0.859375,0.3333333333333333,0.004464286
3211212,0.8575,0.16666666666666666,0.004464286
3221222,0.860625,1,0.004464286
3222122,0.8575,0.16666666666666666,0.004464286
3223311,0.860625,1,0.004464286
3232212,0.86,0.5,0.004464286
2131122,0.856875,0.16666666666666666,0.004444444
2322312,0.85375,0.090909091,0.004444444
3123321,0.859375,0.5,0.004444444
3133221,0.856875,0.16666666666666666,0.004444444
1311211,0.856875,0.2,0.004424779
2113112,0.854375,0.1111111111111111,0.004424779
2221321,0.85875,0.5,0.004424779
3212321,0.859375,1,0.004424779
3232222,0.85875,0.5,0.004424779
3311321,0.85875,0.5,0.004424779
3332221,0.8575,0.25,0.004424779
3333221,0.859375,1,0.004424779
1231221,0.856875,0.25,0.004405286
1232221,0.858125,0.5,0.004405286
2122321,0.85875,1,0.004405286
2132311,0.855625,0.16666666666666666,0.004405286
2233112,0.8575,0.3333333333333333,0.004405286
2321322,0.85875,1,0.004405286
2332121,0.858125,0.5,0.004405286
3233311,0.85875,1,0.004405286
1222311,0.8575,0.5,0.004385965
1333121,0.8575,0.5,0.004385965
2132212,0.858125,1,0.004385965
2311121,0.8575,0.5,0.004385965
3232111,0.8575,0.5,0.004385965
3313222,0.858125,1,0.004385965
1213311,0.85625,0.3333333333333333,0.004366812
2132322,0.856875,0.5,0.004366812
2232111,0.8575,1,0.004366812
2311112,0.85625,0.3333333333333333,0.004366812
3222322,0.856875,0.5,0.004366812
3231212,0.8575,1,0.004366812
3311122,0.8575,1,0.004366812
3312211,0.8575,1,0.004366812
1211322,0.855,0.25,0.004347826
1233212,0.855,0.25,0.004347826
1332121,0.85625,0.5,0.004347826
2331112,0.856875,1,0.004347826
3133322,0.856875,1,0.004347826
2313122,0.855625,0.5,0.004329004
3322112,0.850625,0.1,0.004329004
2133212,0.855,0.5,0.004310345
3123122,0.85125,0.125,0.004310345
3211211,0.8525,0.16666666666666666,0.004310345
3212112,0.853125,0.2,0.004310345
3231311,0.855,0.5,0.004310345
1223112,0.854375,0.5,0.004291845
1323311,0.85375,0.3333333333333333,0.004291845
2122311,0.855,1,0.004291845
2223112,0.854375,0.5,0.004291845
3311121,0.85375,0.3333333333333333,0.004291845
1222122,0.845625,0.066666667,0.004273504
1311322,0.85375,0.5,0.004273504
1323221,0.854375,1,0.004273504
2221212,0.850625,0.14285714285714285,0.004273504
2312322,0.854375,1,0.004273504
2332211,0.854375,1,0.004273504
3122311,0.854375,1,0.004273504
3133212,0.853125,0.3333333333333333,0.004273504
1212311,0.85125,0.2,0.004255319
1313222,0.85,0.14285714285714285,0.004255319
2231311,0.853125,0.5,0.004255319
2311311,0.853125,0.5,0.004255319
2313222,0.85125,0.2,0.004255319
2331111,0.85375,1,0.004255319
3112322,0.85375,1,0.004255319
